reviews/content,cleaned_review,sentiment
This moisturizer is perfect for winter. My skin was so dry and flaky and this fixed everything within a week.,this moisturizer is perfect for winter my skin was so dry and flaky and this fixed everything within a week,positive
Good ingredients but the consistency is too thick for my oily skin. Would probably work great for dry skin types.,good ingredients but the consistency is too thick for my oily skin would probably work great for dry skin types,positive
I was skeptical about the eye cream claims but the before and after photos on my phone don't lie. Genuinely impressive results.,i was skeptical about the eye cream claims but the before and after photos on my phone don t lie genuinely impressive results,positive
The SPF breaks me out unfortunately. Probably the zinc oxide. Love the brand otherwise and will try their other products.,the spf breaks me out unfortunately probably the zinc oxide love the brand otherwise and will try their other products,neutral
Repurchasing for the fourth time. This cleanser is a staple in my routine and I recommend it to everyone.,repurchasing for the fourth time this cleanser is a staple in my routine and i recommend it to everyone,neutral
The toner burned my skin on first use. Might be the AHAs. I have sensitive skin so probably not the right product for me.,the toner burned my skin on first use might be the ahas i have sensitive skin so probably not the right product for me,positive
Subtle results but consistent. After two months of using the serum my hyperpigmentation has faded significantly.,subtle results but consistent after two months of using the serum my hyperpigmentation has faded significantly,neutral
"Great moisturizer, great price. Does exactly what it promises and the packaging is eco-friendly which I love.",great moisturizer great price does exactly what it promises and the packaging is eco friendly which i love,positive
I bought the retinol on recommendation from my dermatologist and she was right. My skin texture has completely transformed.,i bought the retinol on recommendation from my dermatologist and she was right my skin texture has completely transformed,positive
"Fast shipping, beautiful unboxing experience, and the eye cream actually works. Really happy with this purchase.",fast shipping beautiful unboxing experience and the eye cream actually works really happy with this purchase,positive
The SPF moisturizer is good but leaves a slight white cast on my deeper skin tone. Wish the formula was more inclusive.,the spf moisturizer is good but leaves a slight white cast on my deeper skin tone wish the formula was more inclusive,positive
Perfect cleanser for my acne-prone skin. Doesn't clog pores and keeps breakouts at bay without over-drying.,perfect cleanser for my acne prone skin doesn t clog pores and keeps breakouts at bay without over drying,positive
The toner is great but I wish it came with a dropper instead of just a cap. Hard to control how much product comes out.,the toner is great but i wish it came with a dropper instead of just a cap hard to control how much product comes out,positive
Not suitable for sensitive skin despite what the label says. Caused significant redness and irritation for me.,not suitable for sensitive skin despite what the label says caused significant redness and irritation for me,neutral
The vitamin C serum gave me the most even skin tone I've ever had. People keep asking if I've had work done.,the vitamin c serum gave me the most even skin tone i ve ever had people keep asking if i ve had work done,positive
Retinol is working slowly but surely. I'm three months in and my crow's feet are noticeably softer. Worth the patience.,retinol is working slowly but surely i m three months in and my crow s feet are noticeably softer worth the patience,positive
I've gifted this eye cream to my mom and sister. We're all obsessed. It's a staple in our family now.,i ve gifted this eye cream to my mom and sister we re all obsessed it s a staple in our family now,neutral
The SPF smells incredible and works great under makeup. Finally found my holy grail morning moisturizer.,the spf smells incredible and works great under makeup finally found my holy grail morning moisturizer,positive
Cleanser lathers beautifully and rinses clean. My skin feels balanced and fresh every single morning.,cleanser lathers beautifully and rinses clean my skin feels balanced and fresh every single morning,positive
Decent toner but I've had better. The price is a little high for what you get compared to similar products.,decent toner but i ve had better the price is a little high for what you get compared to similar products,positive
